"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"000001.SZ","20230315","13.05","13.18","12.94","13.05","12.87","0.18","1.3986","979363.72","1278262.225"
"000001.SZ","20230314","12.99","13","12.73","12.87","13.05","-0.18","-1.3793","1149075.58","1474124.199"
"000001.SZ","20230313","13.12","13.29","13","13.05","13.14","-0.09","-0.6849","1000634.96","1309490.079"
"000001.SZ","20230310","13","13.27","13","13.14","13.2","-0.06","-0.4545","856996.1","1128558.36"
"000001.SZ","20230309","13.54","13.58","13.13","13.2","13.53","-0.33","-2.439","1736064.76","2305765.842"
"000001.SZ","20230308","13.63","13.64","13.4","13.53","13.69","-0.16","-1.1687","1096897.91","1479838.98"
"000001.SZ","20230307","13.85","14.1","13.65","13.69","13.85","-0.16","-1.1552","1279266.29","1773654.737"
"000001.SZ","20230306","14.3","14.3","13.72","13.85","14.29","-0.44","-3.0791","1455824.14","2023954.547"
"000001.SZ","20230303","14.35","14.37","14.14","14.29","14.24","0.05","0.3511","690954.39","985552.121"
"000001.SZ","20230302","14.13","14.44","14.06","14.24","14.17","0.07","0.494","1015876.84","1447565.98"
"000001.SZ","20230301","13.8","14.19","13.74","14.17","13.78","0.39","2.8302","1223451.78","1719710.647"
"000001.SZ","20230228","13.75","13.85","13.61","13.78","13.69","0.09","0.6574","607935.92","833316.018"
"000001.SZ","20230227","13.75","13.88","13.68","13.69","13.86","-0.17","-1.2266","621461.93","854854.041"
"000001.SZ","20230224","14.02","14.03","13.8","13.86","14.05","-0.19","-1.3523","729989.04","1012652.972"
"000001.SZ","20230223","14","14.32","13.98","14.05","14.02","0.03","0.214","824490.68","1165539.851"
"000001.SZ","20230222","14","14.12","13.94","14.02","14.1","-0.08","-0.5674","638922.39","895742.534"
"000001.SZ","20230221","14.06","14.2","13.92","14.1","14.15","-0.05","-0.3534","990494.99","1393153.377"
"000001.SZ","20230220","13.5","14.15","13.49","14.15","13.43","0.72","5.3611","2116191.17","2945969.773"
"000001.SZ","20230217","13.63","13.72","13.43","13.43","13.6","-0.17","-1.25","918363.69","1246777.397"
"000001.SZ","20230216","13.68","13.91","13.5","13.6","13.67","-0.07","-0.5121","1279123.29","1757431.084"
"000001.SZ","20230215","13.95","13.96","13.62","13.67","13.96","-0.29","-2.0774","1250243.98","1713566.673"
"000001.SZ","20230214","13.85","13.98","13.8","13.96","13.82","0.14","1.013","909937.09","1263892.078"
"000001.SZ","20230213","13.94","13.94","13.6","13.82","13.98","-0.16","-1.1445","1800054.16","2473405.203"
"000001.SZ","20230210","14.1","14.12","13.86","13.98","14.13","-0.15","-1.0616","847283.66","1184283.386"
"000001.SZ","20230209","14.01","14.3","13.96","14.13","14.04","0.09","0.641","830350.02","1174361.963"
"000001.SZ","20230208","14.24","14.32","14.03","14.04","14.21","-0.17","-1.1963","657892.57","928708.934"
"000001.SZ","20230207","14.06","14.32","14.03","14.21","14","0.21","1.5","869460.46","1235297.763"
"000001.SZ","20230206","14.1","14.13","13.86","14","14.32","-0.32","-2.2346","1317610.1","1838428.709"
"000001.SZ","20230203","14.45","14.55","14.16","14.32","14.6","-0.28","-1.9178","1246382.98","1782105.891"
"000001.SZ","20230202","14.74","14.78","14.27","14.6","14.7","-0.1","-0.6803","1577900.39","2280744.883"
"000001.SZ","20230201","15.03","15.08","14.51","14.7","14.99","-0.29","-1.9346","1653421.48","2426471.973"
"000001.SZ","20230131","15.24","15.51","14.96","14.99","15.15","-0.16","-1.0561","1030497.84","1568639.326"
"000001.SZ","20230130","15.6","15.74","14.89","15.15","15.13","0.02","0.1322","1374317.5","2096867.649"
"000001.SZ","20230120","15.16","15.24","15","15.13","15.09","0.04","0.2651","608590.08","920144.806"
"000001.SZ","20230119","15.13","15.25","14.87","15.09","15.11","-0.02","-0.1324","641875.2","963744.633"
"000001.SZ","20230118","14.95","15.18","14.91","15.11","14.97","0.14","0.9352","718434.03","1083362.998"
"000001.SZ","20230117","15.13","15.18","14.77","14.97","15.08","-0.11","-0.7294","935834.54","1396151.515"
"000001.SZ","20230116","14.95","15.28","14.85","15.08","14.95","0.13","0.8696","1560039.89","2356399.993"
"000001.SZ","20230113","14.67","14.95","14.55","14.95","14.67","0.28","1.9087","949085.83","1407181.074"
"000001.SZ","20230112","14.77","14.77","14.53","14.67","14.67","0","0","625694.84","914367.7"
"000001.SZ","20230111","14.45","14.78","14.39","14.67","14.44","0.23","1.5928","830566.12","1217450.812"
"000001.SZ","20230110","14.76","14.89","14.39","14.44","14.8","-0.36","-2.4324","1269423.39","1851093.717"
"000001.SZ","20230109","14.75","14.88","14.52","14.8","14.62","0.18","1.2312","1057659.11","1561368.487"
"000001.SZ","20230106","14.5","14.72","14.48","14.62","14.48","0.14","0.9669","1195744.71","1747915.169"
"000001.SZ","20230105","14.4","14.74","14.37","14.48","14.32","0.16","1.1173","1665425.18","2417272.356"
"000001.SZ","20230104","13.71","14.42","13.63","14.32","13.77","0.55","3.9942","2189682.53","3110729.449"
"000001.SZ","20230103","13.2","13.85","13.05","13.77","13.16","0.61","4.6353","2194127.94","2971546.989"
